trip_id,distance_km,vehicle_type,fuel_type,emissions_kg
108,23.77,Aqua,Hybrid,2.377
109,22.61,Vitz,Gasoline,4.183
110,21.8,Note,Diesel,5.45
111,5.4,Axio,Gasoline,0.999
112,4.78,Aqua,Hybrid,0.478
113,24.86,Prius,Hybrid,2.486
114,4.12,Note,Diesel,1.03
115,18.4,Axio,Gasoline,3.404
116,9.97,Prius,Hybrid,0.997
117,5.07,Vitz,Gasoline,0.938
118,23.1,Vitz,Gasoline,4.274
119,18.84,Note,Diesel,4.71
120,21.32,Aqua,Hybrid,2.132
121,8.1,Note,Diesel,2.025
122,18.99,Aqua,Hybrid,1.899
123,22.58,Aqua,Hybrid,2.258
124,5.3,Aqua,Hybrid,0.53
125,16.82,Axio,Gasoline,3.112
126,11.95,Axio,Gasoline,2.211
127,14.2,Vitz,Gasoline,2.627
128,2.13,Aqua,Hybrid,0.213
129,7.58,Prius,Hybrid,0.758
130,7.89,Vitz,Gasoline,1.46
131,8.75,Aqua,Hybrid,0.875
132,17.7,Note,Diesel,4.425
133,22.91,Vitz,Gasoline,4.238
134,3.1,Prius,Hybrid,0.31
135,14.03,Aqua,Hybrid,1.403
136,4.69,Note,Diesel,1.173
137,22.94,Axio,Gasoline,4.244
138,15.87,Vitz,Gasoline,2.936
139,13.09,Note,Diesel,3.272
140,21.38,Demio,Gasoline,3.955
141,23.32,Axio,Gasoline,4.314
142,22.72,Note,Diesel,5.68
143,15.21,Aqua,Hybrid,1.521
144,6.08,Vitz,Gasoline,1.125
145,5.64,Vitz,Gasoline,1.043
146,6.25,Aqua,Hybrid,0.625
147,21.6,Aqua,Hybrid,2.16
148,13.56,Demio,Gasoline,2.509
149,11.52,Note,Diesel,2.88
150,4.21,Note,Diesel,1.052
151,3.49,Prius,Hybrid,0.349
152,21.79,Aqua,Hybrid,2.179
153,22.62,Demio,Gasoline,4.185
154,12.95,Note,Diesel,3.237
155,20.43,Vitz,Gasoline,3.78
156,16.97,Demio,Gasoline,3.139
157,14.49,Axio,Gasoline,2.681
158,2.9,Leaf,EV,0.0
159,16.94,Aqua,Hybrid,1.694
160,10.51,Vitz,Gasoline,1.944
161,6.69,Axio,Gasoline,1.238
162,19.28,Vitz,Gasoline,3.567
163,13.22,Axio,Gasoline,2.446
164,21.3,Demio,Gasoline,3.941
165,3.34,Demio,Gasoline,0.618
166,12.26,Axio,Gasoline,2.268
167,22.37,Aqua,Hybrid,2.237
168,3.05,Vitz,Gasoline,0.564
169,8.02,Vitz,Gasoline,1.484
170,15.61,Axio,Gasoline,2.888
171,18.3,Axio,Gasoline,3.385
172,4.03,Vitz,Gasoline,0.746
173,9.25,Note,Diesel,2.312
174,4.82,Vitz,Gasoline,0.892
175,24.66,Note,Diesel,6.165
176,7.11,Aqua,Hybrid,0.711
177,8.81,Aqua,Hybrid,0.881
178,15.5,Axio,Gasoline,2.868
179,10.06,Vitz,Gasoline,1.861
180,7.22,Note,Diesel,1.805
181,11.72,Axio,Gasoline,2.168
182,22.06,Axio,Gasoline,4.081
183,2.75,Vitz,Gasoline,0.509
184,6.05,Vitz,Gasoline,1.119
185,8.41,Prius,Hybrid,0.841
186,3.59,Aqua,Hybrid,0.359
187,16.19,Axio,Gasoline,2.995
188,16.89,Demio,Gasoline,3.125
189,19.51,Vitz,Gasoline,3.609
190,22.6,Note,Diesel,5.65
191,5.56,Axio,Gasoline,1.029
192,15.14,Aqua,Hybrid,1.514
193,3.46,Note,Diesel,0.865
194,18.85,Aqua,Hybrid,1.885
195,11.25,Note,Diesel,2.812
196,12.05,Aqua,Hybrid,1.205
197,10.98,Axio,Gasoline,2.031
198,13.81,Note,Diesel,3.453
199,5.04,Note,Diesel,1.26
200,13.76,Axio,Gasoline,2.546
201,8.73,Aqua,Hybrid,0.873
202,11.75,Demio,Gasoline,2.174
203,7.45,Axio,Gasoline,1.378
204,16.02,Axio,Gasoline,2.964
205,8.92,Axio,Gasoline,1.65
206,9.44,Axio,Gasoline,1.746
207,24.61,Prius,Hybrid,2.461
208,8.66,Axio,Gasoline,1.602
209,10.15,Aqua,Hybrid,1.015
210,6.83,Vitz,Gasoline,1.264
211,17.06,Vitz,Gasoline,3.156
212,9.49,Vitz,Gasoline,1.756
213,17.39,Aqua,Hybrid,1.739
214,8.33,Vitz,Gasoline,1.541
215,8.12,Aqua,Hybrid,0.812
216,2.55,Prius,Hybrid,0.255
217,15.66,Aqua,Hybrid,1.566
218,6.29,Aqua,Hybrid,0.629
219,23.32,Vitz,Gasoline,4.314
220,18.6,Demio,Gasoline,3.441
221,8.43,Aqua,Hybrid,0.843
222,15.38,Vitz,Gasoline,2.845
223,3.34,Axio,Gasoline,0.618
224,6.43,Axio,Gasoline,1.19
225,10.6,Note,Diesel,2.65
226,14.91,Axio,Gasoline,2.758
227,20.78,Axio,Gasoline,3.844
228,10.44,Axio,Gasoline,1.931
229,17.89,Vitz,Gasoline,3.31
230,4.69,Vitz,Gasoline,0.868
231,23.03,Aqua,Hybrid,2.303
232,19.73,Demio,Gasoline,3.65
233,15.44,Vitz,Gasoline,2.856
234,11.79,Aqua,Hybrid,1.179
235,10.57,Aqua,Hybrid,1.057
236,2.76,Axio,Gasoline,0.511
237,20.15,Note,Diesel,5.037
238,23.61,Vitz,Gasoline,4.368
239,8.21,Note,Diesel,2.053
240,20.9,Axio,Gasoline,3.866
241,20.06,Axio,Gasoline,3.711
242,22.65,Vitz,Gasoline,4.19
243,17.84,Axio,Gasoline,3.3
244,12.83,Vitz,Gasoline,2.374
245,15.08,Aqua,Hybrid,1.508
246,10.57,Axio,Gasoline,1.955
247,18.29,Vitz,Gasoline,3.384
248,12.91,Demio,Gasoline,2.388
249,6.83,Axio,Gasoline,1.264
250,4.34,Aqua,Hybrid,0.434
251,23.85,Vitz,Gasoline,4.412
252,6.43,Vitz,Gasoline,1.19
253,12.28,Leaf,EV,0.0
254,12.46,Axio,Gasoline,2.305
255,21.96,Vitz,Gasoline,4.063
256,6.47,Vitz,Gasoline,1.197
257,18.24,Vitz,Gasoline,3.374
258,23.64,Axio,Gasoline,4.373
259,2.66,Vitz,Gasoline,0.492
260,24.18,Prius,Hybrid,2.418
261,23.62,Axio,Gasoline,4.37
262,19.77,Aqua,Hybrid,1.977
263,10.81,Vitz,Gasoline,2.0
264,19.26,Vitz,Gasoline,3.563
265,24.63,Demio,Gasoline,4.557
266,4.19,Vitz,Gasoline,0.775
267,8.85,Note,Diesel,2.212
268,16.0,Vitz,Gasoline,2.96
269,19.22,Aqua,Hybrid,1.922
270,12.34,Axio,Gasoline,2.283
271,20.58,Aqua,Hybrid,2.058
272,22.35,Axio,Gasoline,4.135
273,23.07,Prius,Hybrid,2.307
274,22.02,Prius,Hybrid,2.202
275,12.51,Vitz,Gasoline,2.314
276,9.93,Demio,Gasoline,1.837
277,24.37,Note,Diesel,6.093
278,21.49,Demio,Gasoline,3.976
279,22.92,Prius,Hybrid,2.292
280,16.33,Aqua,Hybrid,1.633
281,3.94,Demio,Gasoline,0.729
282,16.59,Axio,Gasoline,3.069
283,22.47,Axio,Gasoline,4.157
284,8.21,Note,Diesel,2.053
285,7.29,Note,Diesel,1.823
286,23.71,Vitz,Gasoline,4.386
287,13.23,Vitz,Gasoline,2.448
288,14.03,Vitz,Gasoline,2.596
289,2.47,Demio,Gasoline,0.457
290,18.91,Prius,Hybrid,1.891
291,12.89,Vitz,Gasoline,2.385
292,4.58,Prius,Hybrid,0.458
293,13.57,Prius,Hybrid,1.357
294,21.45,Vitz,Gasoline,3.968
295,13.77,Aqua,Hybrid,1.377
296,8.92,Aqua,Hybrid,0.892
297,16.84,Axio,Gasoline,3.115
298,11.35,Aqua,Hybrid,1.135
299,16.47,Aqua,Hybrid,1.647
300,8.08,Axio,Gasoline,1.495
301,23.63,Prius,Hybrid,2.363
302,9.79,Axio,Gasoline,1.811
303,4.72,Aqua,Hybrid,0.472
304,14.23,Demio,Gasoline,2.633
305,6.43,Axio,Gasoline,1.19
306,8.13,Axio,Gasoline,1.504
307,4.78,Prius,Hybrid,0.478
308,3.2,Aqua,Hybrid,0.32
309,7.17,Vitz,Gasoline,1.326
310,24.26,Axio,Gasoline,4.488
311,6.46,Note,Diesel,1.615
312,22.7,Axio,Gasoline,4.199
313,11.77,Leaf,EV,0.0
314,16.22,Leaf,EV,0.0
315,10.43,Demio,Gasoline,1.93
316,17.88,Vitz,Gasoline,3.308
317,5.95,Axio,Gasoline,1.101
318,17.79,Axio,Gasoline,3.291
319,14.37,Aqua,Hybrid,1.437
320,19.07,Vitz,Gasoline,3.528
321,7.26,Axio,Gasoline,1.343
322,5.79,Prius,Hybrid,0.579
323,12.6,Vitz,Gasoline,2.331
324,12.76,Vitz,Gasoline,2.361
325,14.35,Aqua,Hybrid,1.435
326,13.01,Note,Diesel,3.252
327,20.86,Vitz,Gasoline,3.859
328,12.11,Vitz,Gasoline,2.24
329,7.66,Demio,Gasoline,1.417
330,23.68,Aqua,Hybrid,2.368
331,2.61,Aqua,Hybrid,0.261
332,13.19,Aqua,Hybrid,1.319
333,18.67,Vitz,Gasoline,3.454
334,23.26,Vitz,Gasoline,4.303
335,22.23,Leaf,EV,0.0
336,9.16,Vitz,Gasoline,1.695
337,16.91,Note,Diesel,4.228
338,15.56,Note,Diesel,3.89
339,22.61,Demio,Gasoline,4.183
340,14.0,Axio,Gasoline,2.59
341,5.04,Demio,Gasoline,0.932
342,22.43,Axio,Gasoline,4.15
343,19.85,Axio,Gasoline,3.672
344,17.67,Aqua,Hybrid,1.767
345,22.74,Aqua,Hybrid,2.274
346,16.62,Vitz,Gasoline,3.075
347,18.16,Demio,Gasoline,3.36
348,22.32,Aqua,Hybrid,2.232
349,3.02,Aqua,Hybrid,0.302
350,10.75,Vitz,Gasoline,1.989
351,15.75,Aqua,Hybrid,1.575
352,18.82,Vitz,Gasoline,3.482
353,21.65,Vitz,Gasoline,4.005
354,24.75,Axio,Gasoline,4.579
355,4.27,Axio,Gasoline,0.79
356,4.48,Aqua,Hybrid,0.448
357,11.5,Vitz,Gasoline,2.127
358,16.48,Vitz,Gasoline,3.049
359,5.71,Vitz,Gasoline,1.056
360,21.84,Vitz,Gasoline,4.04
361,10.22,Note,Diesel,2.555
362,11.54,Vitz,Gasoline,2.135
363,23.69,Axio,Gasoline,4.383
364,10.67,Axio,Gasoline,1.974
365,24.31,Aqua,Hybrid,2.431
366,22.53,Aqua,Hybrid,2.253
367,15.36,Aqua,Hybrid,1.536
368,20.87,Axio,Gasoline,3.861
369,7.37,Aqua,Hybrid,0.737
370,24.84,Axio,Gasoline,4.595
371,13.4,Aqua,Hybrid,1.34
372,18.16,Axio,Gasoline,3.36
373,8.74,Axio,Gasoline,1.617
374,16.95,Vitz,Gasoline,3.136
375,18.08,Axio,Gasoline,3.345
376,3.24,Axio,Gasoline,0.599
377,22.25,Vitz,Gasoline,4.116
378,3.97,Aqua,Hybrid,0.397
379,24.68,Aqua,Hybrid,2.468
380,11.02,Axio,Gasoline,2.039
381,5.39,Vitz,Gasoline,0.997
382,17.09,Axio,Gasoline,3.162
383,24.55,Aqua,Hybrid,2.455
384,22.64,Axio,Gasoline,4.188
385,24.75,Aqua,Hybrid,2.475
386,12.61,Vitz,Gasoline,2.333
387,18.82,Note,Diesel,4.705
388,8.66,Vitz,Gasoline,1.602
389,8.06,Leaf,EV,0.0
390,11.03,Demio,Gasoline,2.041
391,9.18,Aqua,Hybrid,0.918
392,20.97,Vitz,Gasoline,3.879
393,5.9,Vitz,Gasoline,1.092
394,5.62,Aqua,Hybrid,0.562
395,22.49,Vitz,Gasoline,4.161
396,20.7,Vitz,Gasoline,3.829
397,5.86,Note,Diesel,1.465
398,14.85,Vitz,Gasoline,2.747
399,22.03,Aqua,Hybrid,2.203
400,24.33,Aqua,Hybrid,2.433
401,17.04,Aqua,Hybrid,1.704
402,17.74,Note,Diesel,4.435
403,21.14,Prius,Hybrid,2.114
404,2.1,Vitz,Gasoline,0.389
405,16.43,Aqua,Hybrid,1.643
406,3.78,Axio,Gasoline,0.699
407,10.32,Aqua,Hybrid,1.032
408,6.33,Axio,Gasoline,1.171
409,2.05,Note,Diesel,0.512
410,17.95,Vitz,Gasoline,3.321
411,10.66,Aqua,Hybrid,1.066
412,24.07,Axio,Gasoline,4.453
413,23.79,Aqua,Hybrid,2.379
414,19.27,Axio,Gasoline,3.565
415,4.44,Prius,Hybrid,0.444
416,13.25,Demio,Gasoline,2.451
417,22.32,Axio,Gasoline,4.129
418,12.0,Axio,Gasoline,2.22
419,9.95,Prius,Hybrid,0.995
420,9.74,Aqua,Hybrid,0.974
421,13.62,Note,Diesel,3.405
422,20.94,Prius,Hybrid,2.094
423,15.62,Aqua,Hybrid,1.562
424,13.86,Vitz,Gasoline,2.564
425,8.91,Aqua,Hybrid,0.891
426,8.36,Axio,Gasoline,1.547
427,9.4,Prius,Hybrid,0.94
428,22.29,Axio,Gasoline,4.124
429,3.01,Prius,Hybrid,0.301
430,12.94,Vitz,Gasoline,2.394
431,4.36,Axio,Gasoline,0.807
432,13.65,Aqua,Hybrid,1.365
433,17.71,Axio,Gasoline,3.276
434,10.4,Vitz,Gasoline,1.924
435,17.51,Aqua,Hybrid,1.751
436,23.48,Demio,Gasoline,4.344
437,23.57,Axio,Gasoline,4.36
438,10.76,Vitz,Gasoline,1.991
439,10.99,Vitz,Gasoline,2.033
440,6.88,Vitz,Gasoline,1.273
441,6.65,Axio,Gasoline,1.23
442,4.75,Prius,Hybrid,0.475
443,14.48,Vitz,Gasoline,2.679
444,7.2,Vitz,Gasoline,1.332
445,19.96,Vitz,Gasoline,3.693
446,15.48,Prius,Hybrid,1.548
447,9.14,Demio,Gasoline,1.691
448,16.58,Vitz,Gasoline,3.067
449,2.23,Note,Diesel,0.557
450,10.33,Axio,Gasoline,1.911
451,19.99,Aqua,Hybrid,1.999
452,18.15,Aqua,Hybrid,1.815
453,17.87,Prius,Hybrid,1.787
454,3.63,Prius,Hybrid,0.363
455,23.96,Aqua,Hybrid,2.396
456,21.36,Vitz,Gasoline,3.952
457,3.95,Axio,Gasoline,0.731
458,10.15,Vitz,Gasoline,1.878
459,12.55,Aqua,Hybrid,1.255
460,21.67,Note,Diesel,5.418
461,20.15,Axio,Gasoline,3.728
462,18.25,Axio,Gasoline,3.376
463,18.5,Vitz,Gasoline,3.422
464,21.23,Demio,Gasoline,3.928
465,16.09,Vitz,Gasoline,2.977
466,9.49,Vitz,Gasoline,1.756
467,13.79,Vitz,Gasoline,2.551
468,24.51,Axio,Gasoline,4.534
469,22.99,Vitz,Gasoline,4.253
470,2.22,Demio,Gasoline,0.411
471,11.29,Axio,Gasoline,2.089
472,7.91,Vitz,Gasoline,1.463
473,15.26,Vitz,Gasoline,2.823
474,20.24,Vitz,Gasoline,3.744
475,19.72,Demio,Gasoline,3.648
476,17.57,Axio,Gasoline,3.25
477,11.08,Vitz,Gasoline,2.05
478,17.54,Vitz,Gasoline,3.245
479,20.73,Aqua,Hybrid,2.073
480,17.9,Vitz,Gasoline,3.311
481,2.7,Leaf,EV,0.0
482,14.51,Vitz,Gasoline,2.684
483,10.67,Note,Diesel,2.667
484,20.58,Demio,Gasoline,3.807
485,19.5,Axio,Gasoline,3.607
486,11.2,Aqua,Hybrid,1.12
487,14.44,Axio,Gasoline,2.671
488,5.87,Aqua,Hybrid,0.587
489,5.26,Vitz,Gasoline,0.973
490,3.62,Vitz,Gasoline,0.67
491,8.79,Vitz,Gasoline,1.626
492,14.36,Aqua,Hybrid,1.436
493,24.24,Vitz,Gasoline,4.484
494,3.72,Vitz,Gasoline,0.688
495,2.54,Vitz,Gasoline,0.47
496,23.64,Axio,Gasoline,4.373
497,2.15,Aqua,Hybrid,0.215
498,7.03,Demio,Gasoline,1.301
499,22.67,Axio,Gasoline,4.194
500,4.93,Vitz,Gasoline,0.912
